candidate_id,event_time,clip_file,error_class,visual_cause,trajectory_status,audio_status,duplicate_group,notes
2,126.49,/Users/macmima1234/basketball-highlight-editor/data/artifacts/review_1hour_all_v1/clips/candidate_002_0000126.49s.mp4,false_positive,,pending,pending,,请人工填写：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
4,444.48,/Users/macmima1234/basketball-highlight-editor/data/artifacts/review_1hour_all_v1/clips/candidate_004_0000444.48s.mp4,false_negative,,pending,pending,,请人工填写：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
5,466.55,/Users/macmima1234/basketball-highlight-editor/data/artifacts/review_1hour_all_v1/clips/candidate_005_0000466.55s.mp4,false_negative,,pending,pending,,请人工填写：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
7,558.19,/Users/macmima1234/basketball-highlight-editor/data/artifacts/review_1hour_all_v1/clips/candidate_007_0000558.19s.mp4,false_negative,,pending,pending,,请人工填写：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
8,725.84,/Users/macmima1234/basketball-highlight-editor/data/artifacts/review_1hour_all_v1/clips/candidate_008_0000725.84s.mp4,false_negative,,pending,pending,,请人工填写：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
10,815.78,/Users/macmima1234/basketball-highlight-editor/data/artifacts/review_1hour_all_v1/clips/candidate_010_0000815.78s.mp4,false_negative,,pending,pending,,请人工填写：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
12,965.55,/Users/macmima1234/basketball-highlight-editor/data/artifacts/review_1hour_all_v1/clips/candidate_012_0000965.55s.mp4,false_negative,,pending,pending,,请人工填写：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
13,1054.89,/Users/macmima1234/basketball-highlight-editor/data/artifacts/review_1hour_all_v1/clips/candidate_013_0001054.89s.mp4,false_negative,,pending,pending,,请人工填写：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
15,1123.99,/Users/macmima1234/basketball-highlight-editor/data/artifacts/review_1hour_all_v1/clips/candidate_015_0001123.99s.mp4,false_positive,,pending,pending,,请人工填写：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
22,1584.03,/Users/macmima1234/basketball-highlight-editor/data/artifacts/review_1hour_all_v1/clips/candidate_022_0001584.03s.mp4,false_positive,,pending,pending,,请人工填写：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
23,1640.62,/Users/macmima1234/basketball-highlight-editor/data/artifacts/review_1hour_all_v1/clips/candidate_023_0001640.62s.mp4,false_negative,,pending,pending,,请人工填写：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
26,1724.39,/Users/macmima1234/basketball-highlight-editor/data/artifacts/review_1hour_all_v1/clips/candidate_026_0001724.39s.mp4,false_positive,,pending,pending,,请人工填写：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
28,1859.09,/Users/macmima1234/basketball-highlight-editor/data/artifacts/review_1hour_all_v1/clips/candidate_028_0001859.09s.mp4,false_positive,,pending,pending,,请人工填写：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
