candidate_id,event_time,error_class,visual_cause,trajectory_status,audio_status,audio_rms_db_delta,audio_rms_ratio,automatic_goal,actual_goal,notes
2,126.49,false_positive,,no_prediction,strong_spike,4.691,1.7162,True,False,人工补充：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
4,444.48,false_negative,轨迹未形成完整穿框：球在篮筐上方横向掠过后离开检测走廊,no_prediction,strong_spike,3.589,1.5117,False,True,自动复核：未形成完整穿框证据
5,466.55,false_negative,篮网附近一帧漏检导致主轨迹断裂，后续球检测被其他球干扰,prediction_available_low,no_spike,0.646,1.0772,False,True,自动复核：已由轨迹拼接恢复为审核候选
7,558.19,false_negative,,no_prediction,no_spike,-4.77,0.5775,False,True,人工补充：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
8,725.84,false_negative,,prediction_available_low,no_spike,-0.878,0.9039,False,True,人工补充：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
10,815.78,false_negative,,prediction_available_low,no_spike,0.252,1.0294,False,True,人工补充：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
12,965.55,false_negative,主轨迹在穿框后切换到场上其他篮球，原逻辑误判为侧向离开,no_prediction,no_spike,-1.233,0.8677,False,True,自动复核：已由局部走廊拼接恢复为审核候选
13,1054.89,false_negative,,no_prediction,no_spike,0.373,1.0439,False,True,人工补充：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
15,1123.99,false_positive,,prediction_available_low,no_spike,-1.312,0.8598,True,False,人工补充：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
22,1584.03,false_positive,,no_prediction,no_spike,-8.033,0.3966,True,False,人工补充：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
23,1640.62,false_negative,,prediction_available_low,weak_spike,1.673,1.2125,False,True,人工补充：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
26,1724.39,false_positive,,no_prediction,strong_spike,4.535,1.6855,True,False,人工补充：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
28,1859.09,false_positive,,prediction_review_hit,weak_spike,2.962,1.4064,True,False,人工补充：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
31,2205.22,false_negative,,no_prediction,weak_spike,2.118,1.2762,False,True,人工补充：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
33,2534.6,false_negative,,prediction_review_hit,no_spike,0.432,1.051,False,True,人工补充：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
34,2587.64,false_positive,,prediction_available_low,weak_spike,1.143,1.1407,True,False,人工补充：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
35,2638.22,false_positive,,prediction_available_low,no_spike,-7.253,0.4339,True,False,人工补充：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
37,2876.52,false_positive,,no_prediction,no_spike,-3.519,0.6669,True,False,人工补充：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
38,2882.23,false_negative,球已穿过篮筐走廊但出框方向偏右，严格后续走廊判定过窄,no_prediction,no_spike,-0.129,0.9853,False,True,自动复核：已放宽球体半径后的后续走廊判定
39,2960.69,false_negative,球接近篮筐右侧但未形成可验证的完整穿框轨迹,no_prediction,no_spike,-0.04,0.9954,False,True,自动复核：仍待解决
40,2962.89,false_positive,,no_prediction,strong_spike,3.092,1.4276,True,False,人工补充：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
43,3236.3,false_positive,,prediction_available_low,no_spike,-1.789,0.8139,True,False,人工补充：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
45,3320.83,false_positive,,no_prediction,no_spike,-2.371,0.7612,True,False,人工补充：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
47,3421.03,false_positive,,no_prediction,no_spike,-2.165,0.7794,True,False,人工补充：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
48,3437.65,false_negative,,prediction_review_hit,strong_spike,5.853,1.9617,False,True,人工补充：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
49,3549.03,false_positive,,no_prediction,no_spike,-0.738,0.9185,True,False,人工补充：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
